CSF_0036	#d9d9d9
CSF_0037	#d9d9d9
CSF_0038	#ffcccc
CSF_0039	#d9d9d9
CSF_0040	#ffff99
CSF_0041	#99ccff
CSF_0042	#99ccff
CSF_0043	#cc99ff
CSF_0044	#d9d9d9
CSF_0045	#d9d9d9
CSF_0046	#99ff99
CSF_0047	#d9d9d9
CSF_0048	#d9d9d9
CSF_0049	#ffcccc
CSF_0050	#ffcccc
CSF_0051	#d9d9d9
CSF_0052	#d9d9d9
CSF_0053	#d9d9d9
CSF_0054	#d9d9d9
CSF_0055	#d9d9d9
CSF_0056	#d9d9d9
CSF_0057	#d9d9d9
CSF_0058	#ccccff
CSF_0059	#d9d9d9
CSF_0060	#d9d9d9
CSF_0061	#d9d9d9
CSF_0062	#ffcc99
CSF_0063	#d9d9d9
CSF_0064	#ffcccc
CSF_0065	#ffcccc
CSF_0066	#d9d9d9
CSF_0067	#d9d9d9
CSF_0068	#ffcccc
CSF_0069	#d9d9d9
CSF_0070	#ffcccc
CSF_0071	#d9d9d9
CSF_0072	#d9d9d9
CSF_0073	#d9d9d9
CSF_0074	#d9d9d9
CSF_0075	#d9d9d9
CSF_0076	#99ff99
CSF_0077	#cc99ff
CSF_0090	#99ccff
CSF_0091	#ffcccc
CSF_0092	#d9d9d9
CSF_0093	#d9d9d9
CSF_0094	#ffcccc
CSF_0095	#d9d9d9
CSF_0096	#d9d9d9
CSF_0097	#d9d9d9
CSF_0098	#99ccff
CSF_0099	#d9d9d9
CSF_0100	#ccccff
CSF_0101	#ffcccc

