ID	Year	Year_Color
CSF_0036	2019	#d8daeb
CSF_0037	2019	#d8daeb
CSF_0038	2018	#fee0b6
CSF_0039	2018	#fee0b6
CSF_0040	2020	#b2abd2
CSF_0041	2021	#8073ac
CSF_0042	2021	#8073ac
CSF_0043	2022	#542788
CSF_0044	2022	#542788
CSF_0045	2021	#8073ac
CSF_0046	2021	#8073ac
CSF_0047	2021	#8073ac
CSF_0048	2021	#8073ac
CSF_0049	2020	#b2abd2
CSF_0050	2021	#8073ac
CSF_0051	2020	#b2abd2
CSF_0052	2020	#b2abd2
CSF_0053	2020	#b2abd2
CSF_0054	2020	#b2abd2
CSF_0055	2019	#d8daeb
CSF_0056	2019	#d8daeb
CSF_0057	2019	#d8daeb
CSF_0058	2019	#d8daeb
CSF_0059	2019	#d8daeb
CSF_0060	2018	#fee0b6
CSF_0061	2018	#fee0b6
CSF_0062	2018	#fee0b6
CSF_0063	2018	#fee0b6
CSF_0064	2017	#fdb863
CSF_0065	2017	#fdb863
CSF_0066	2022	#542788
CSF_0067	2017	#fdb863
CSF_0068	2017	#fdb863
CSF_0069	2017	#fdb863
CSF_0070	2017	#fdb863
CSF_0071	2018	#fee0b6
CSF_0072	2022	#542788
CSF_0073	2022	#542788
CSF_0074	2018	#fee0b6
CSF_0075	2019	#d8daeb
CSF_0076	2019	#d8daeb
CSF_0077	2019	#d8daeb
CSF_0090 	2015	#b35806
CSF_0091 	2015	#b35806
CSF_0092 	2015	#b35806
CSF_0093 	2015	#b35806
CSF_0094 	2015	#b35806
CSF_0095 	2016	#e08214
CSF_0096 	2016	#e08214
CSF_0097 	2016	#e08214
CSF_0098 	2016	#e08214
CSF_0099 	2016	#e08214
CSF_0100 	2016	#e08214
CSF_0101 	2016	#e08214
