#phyloID	Country_color
BD0003	#4daf4a
CSF_0003	#4daf4a
CSF_0004	#4daf4a
CSF_0015	#4daf4a
CSF_0016	#4daf4a
CSF_0017	#4daf4a
CSF_0018	#4daf4a
CSF_0019	#4daf4a
CSF_0020	#4daf4a
CSF_0022	#4daf4a
CSF_0023	#4daf4a
CSF_0024	#4daf4a
CSF_0026	#4daf4a
CSF_0027	#4daf4a
CSF_0028	#4daf4a
CSF_0036	#4daf4a
CSF_0037	#4daf4a
CSF_0038	#4daf4a
CSF_0039	#4daf4a
CSF_0040	#4daf4a
CSF_0041	#4daf4a
CSF_0042	#4daf4a
CSF_0043	#4daf4a
CSF_0044	#4daf4a
CSF_0045	#4daf4a
CSF_0046	#4daf4a
CSF_0047	#4daf4a
CSF_0048	#4daf4a
CSF_0049	#4daf4a
CSF_0050	#4daf4a
CSF_0051	#4daf4a
CSF_0052	#4daf4a
CSF_0053	#4daf4a
CSF_0054	#4daf4a
CSF_0055	#4daf4a
CSF_0056	#4daf4a
CSF_0057	#4daf4a
CSF_0058	#4daf4a
CSF_0059	#4daf4a
CSF_0060	#4daf4a
CSF_0061	#4daf4a
CSF_0062	#4daf4a
CSF_0063	#4daf4a
CSF_0064	#4daf4a
CSF_0065	#4daf4a
CSF_0066	#4daf4a
CSF_0067	#4daf4a
CSF_0068	#4daf4a
CSF_0069	#4daf4a
CSF_0070	#4daf4a
CSF_0071	#4daf4a
CSF_0072	#4daf4a
CSF_0073	#4daf4a
CSF_0074	#4daf4a
CSF_0075	#4daf4a
CSF_0076	#4daf4a
CSF_0077	#4daf4a
DQ873386	#f781bf
DQ873387	#f781bf
DQ873388	#f781bf
DQ873389	#f781bf
EU175855	#984ea3
EU175856	#984ea3
EU200667	#e41a1c
EU546204	#984ea3
EU546205	#984ea3
EU546206	#984ea3
EU546207	#984ea3
EU546210	#984ea3
EU546211	#984ea3
HQ593530	#ffff33
HQ593531	#ffff33
HQ593532	#ffff33
JN183922	#ff7f00
JN798193	#377eb8
JN798194	#377eb8
JN798195	#377eb8
JN798196	#377eb8
KJ541119	#ffff33
KJ541120	#ffff33
KJ541121	#ffff33
KM390024	#ffff33
KM390025	#ffff33
KU871314	#a65628
KU871315	#a65628
MZ820170	#ffff33
MZ820171	#ffff33
