#phyloID	year_color	Year
CHRF_BD0003	#fdd0a2	2018
CHRF_0012		2017
CHRF_0015		2017
CSF_0003	#e6550d	2021
CSF_0004	#e6550d	2021
CSF_0015	#a63603	2022
CSF_0016	#a63603	2022
CSF_0017	#a63603	2022
CSF_0018	#fd8d3c	2020
CSF_0019	#fd8d3c	2020
CSF_0020	#a63603	2022
CSF_0022	#e6550d	2021
CSF_0023	#e6550d	2021
CSF_0024	#fd8d3c	2020
CSF_0026	#fd8d3c	2020
CSF_0027	#fd8d3c	2020
CSF_0028	#fd8d3c	2020
CSF_0036	#fdae6b	2019
CSF_0037	#fdae6b	2019
CSF_0038	#fdd0a2	2018
CSF_0039	#fdd0a2	2018
CSF_0040	#fd8d3c	2020
CSF_0041	#e6550d	2021
CSF_0042	#e6550d	2021
CSF_0043	#a63603	2022
CSF_0044	#a63603	2022
CSF_0045	#e6550d	2021
CSF_0046	#e6550d	2021
CSF_0047	#e6550d	2021
CSF_0048	#e6550d	2021
CSF_0049	#fd8d3c	2020
CSF_0050	#e6550d	2021
CSF_0051	#fd8d3c	2020
CSF_0052	#fd8d3c	2020
CSF_0053	#fd8d3c	2020
CSF_0054	#fd8d3c	2020
CSF_0055	#fdae6b	2019
CSF_0056	#fdae6b	2019
CSF_0057	#fdae6b	2019
CSF_0058	#fdae6b	2019
CSF_0059	#fdae6b	2019
CSF_0060	#fdd0a2	2018
CSF_0061	#fdd0a2	2018
CSF_0062	#fdd0a2	2018
CSF_0063	#fdd0a2	2018
CSF_0064	#feedde	2017
CSF_0065	#feedde	2017
CSF_0066	#a63603	2022
CSF_0067	#feedde	2017
CSF_0068	#feedde	2017
CSF_0069	#feedde	2017
CSF_0070	#feedde	2017
CSF_0071	#fdd0a2	2018
CSF_0072	#a63603	2022
CSF_0073	#a63603	2022
CSF_0074	#fdd0a2	2018
CSF_0075	#fdae6b	2019
CSF_0076	#fdae6b	2019
CSF_0077	#fdae6b	2019
DQ873386	#3690c0	2005
DQ873387	#3690c0	2005
DQ873388	#3690c0	2005
DQ873389	#3690c0	2005
EU175855	#74a9cf	2006
EU175856	#74a9cf	2006
EU200667	#74a9cf	2006
EU546204	#034e7b	1980
EU546205	#034e7b	1980
EU546206	#034e7b	1980
EU546207	#034e7b	1980
EU546210	#0570b0	2002
EU546211	#0570b0	2002
HQ593530	#74a9cf	2006
HQ593531	#74a9cf	2006
HQ593532	#3690c0	2005
JN183922	#3690c0	2005
JN798193	#a6bddb	2007
JN798194	#a6bddb	2007
JN798195	#a6bddb	2007
JN798196	#a6bddb	2007
KJ541119	#3690c0	2005
KJ541120	#3690c0	2005
KJ541121	#3690c0	2005
KM390024	#d0d1e6	2012
KM390025	#d0d1e6	2012
KU871314	#f1eef6	2015
KU871315	#f1eef6	2015
MZ820170	#fdd0a2	2018
MZ820171	#fdd0a2	2018
CSF_0090		2015
CSF_0091		2015
CSF_0092		2015
CSF_0093		2015
CSF_0094		2015
CSF_0095		2016
CSF_0096		2016
CSF_0097		2016
CSF_0098		2016
CSF_0099		2016
CSF_0100		2016
CSF_0101		2016
AY622943		2005
DQ873390		2007
DQ873391		2007
EU874248		2008
JN183921		2012
JN183925		2012
JN798192		2012
